"","idhous99","idpers_new","idpers","sex","birthm","birthy","age","marstat","intlang","religion","disrel_fr","health","work","income","cfriends","reading","inchild","children","education","fath15","moth15","stepp15","sib15","inear15","ocfath15","edufath","mthwk15","ocmth15","edumth","fathpol","mothpol"
"1447",111721,1,11172102,"woman",7,1914,85,"married","german","protestant or reformed church","","so, so (average)","not in labor force",-2,NA,"every day",0,1,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no",NA,"compulsory or less","right","no particular tendency"
"1448",111751,1,11175101,"woman",4,1923,76,"widower/widow","german","roman catholic","","not very well","not in labor force",25800,16,"every day",0,1,"high school","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"yes","service workers, market sales workers","general training/apprenticeship","left","no particular tendency"
"1449",111791,1,11179102,"woman",4,1953,46,"married","german","protestant or reformed church","never","well","active occupied",-2,12,"less than once a month",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",NA,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"1450",111831,1,11183102,"woman",7,1949,50,"married","german","other","","well","active occupied",20000,1,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"yes","craft and related trades workers","general training/apprenticeship","right","other"
"1451",111901,1,11190101,"woman",11,1933,66,"divorced","german","protestant or reformed church","","very well","not in labor force",-2,4,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","no","father","craft and related trades workers",3,"yes","craft and related trades workers","general training/apprenticeship","no particular tendency","no particular tendency"
"1452",111921,1,11192102,"woman",6,1945,54,"married","german","protestant or reformed church","","not very well","not in labor force",-2,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","service workers, market sales workers","general training/apprenticeship","left","left"
"1453",111951,1,11195102,"woman",8,1946,53,"married","german","protestant or reformed church","","so, so (average)","active occupied",51051,2,"at least once a week",2,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"high school","no particular tendency","no particular tendency"
"1454",111961,1,11196102,"woman",11,1913,86,"single, never married","german","roman catholic","","well","not in labor force",-2,8,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",15,"no","technicians and associate professionals","high school","innaplicable","innaplicable"
"1455",112061,1,11206101,"woman",5,1950,49,"married","german","roman catholic","","well","active occupied",-4,20,"every day",3,3,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",15,"no",NA,"university/postgrad","innaplicable","innaplicable"
"1456",112181,1,11218102,"woman",4,1950,49,"married","french","protestant or reformed church","","well","active occupied",-2,2,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","professionals",15,"yes","technicians and associate professionals","compulsory or less","other","other"
"1457",112321,1,11232102,"woman",7,1944,55,"married","french","protestant or reformed church","never","well","not in labor force",-2,4,"less than once a month",1,3,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1458",112381,1,11238102,"woman",8,1952,47,"married","french","protestant or reformed church","","well","active occupied",-2,2,"every day",1,3,"high school","yes","yes","inapplicable","no","father","elementary occupations",1,"yes","technicians and associate professionals","compulsory or less","centre","centre"
"1459",112701,1,11270101,"woman",6,1950,49,"divorced","french","roman catholic","","so, so (average)","active occupied",49400,1,"less than once a month",1,2,"general training/apprenticeship","yes","yes","inapplicable","no","father","elementary occupations",1,"yes","service workers, market sales workers","compulsory or less","don't know","don't know"
"1460",112751,1,11275101,"woman",10,1920,79,"widower/widow","french","roman catholic","","well","not in labor force",-2,1,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","no","both equally","technicians and associate professionals",5,"yes","technicians and associate professionals","general training/apprenticeship","left","no particular tendency"
"1461",112831,1,11283102,"woman",1,1930,69,"married","french","protestant or reformed church","never","so, so (average)","not in labor force",-4,12,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","left","no particular tendency"
"1462",112951,1,11295101,"woman",4,1948,51,"married","french","protestant or reformed church","","well","active occupied",27600,4,"every day",2,2,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",15,"no","technicians and associate professionals","high school","centre","centre"
"1463",113181,1,11318102,"woman",7,1948,51,"married","french","roman catholic","","well","active occupied",54145,12,"every day",2,3,"high school","yes","yes","inapplicable","yes","father","service workers, market sales workers",5,"no",NA,"compulsory or less","left","left"
"1464",113201,1,11320101,"woman",5,1942,57,"married","french","protestant or reformed church","","very well","not in labor force",-4,2,"every day",1,2,"high school","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"yes","service workers, market sales workers","general training/apprenticeship","centre","centre"
"1465",113491,1,11349101,"woman",6,1942,57,"single, never married","french","roman catholic","very often","so, so (average)","not in labor force",-2,4,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","technicians and associate professionals",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1466",113571,1,11357101,"woman",2,1917,82,"widower/widow","french","protestant or reformed church","never","so, so (average)","not in labor force",-2,4,"every day",0,1,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",5,"no","craft and related trades workers","general training/apprenticeship","right","right"
"1467",113611,1,11361102,"woman",11,1924,75,"married","french","protestant or reformed church","","well","not in labor force",39074.4,4,"every day",0,1,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","craft and related trades workers","general training/apprenticeship","centre","centre"
"1468",113821,1,11382102,"woman",3,1950,49,"married","french","protestant or reformed church","","very well","not in labor force",-4,1,"every day",0,3,"compulsory or less","yes","yes","inapplicable","no","both equally","elementary occupations",NA,"yes","elementary occupations","compulsory or less","other","no particular tendency"
"1469",113881,1,11388101,"woman",2,1941,58,"divorced","french","protestant or reformed church","","well","not in labor force",-2,4,"every day",0,1,"high school","no","no","inapplicable","yes","a guardian","craft and related trades workers",NA,"no","professionals","university/postgrad","other","other"
"1470",113901,1,11390101,"woman",5,1951,48,"married","french","roman catholic","","well","active occupied",18200,4,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","craft and related trades workers","general training/apprenticeship","centre","left"
"1471",113911,1,11391101,"woman",1,1948,51,"divorced","french","roman catholic","","so, so (average)","not in labor force",-8,4,"every day",0,1,"high school","no","no","inapplicable","no","a guardian",NA,NA,NA,NA,NA,"innaplicable","innaplicable"
"1472",113931,1,11393102,"woman",7,1925,74,"married","french","protestant or reformed church","never","very well","not in labor force",-1,4,"every day",0,3,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",1,"no",NA,"high school","innaplicable","innaplicable"
"1473",113941,1,11394102,"woman",3,1934,65,"married","french","protestant or reformed church","never","so, so (average)","not in labor force",-2,12,"at least once a week",0,3,"compulsory or less","yes","yes","inapplicable","no","father","elementary occupations",1,"no",NA,"compulsory or less","right","no particular tendency"
"1474",113951,1,11395101,"woman",12,1951,48,"married","french","roman catholic","","so, so (average)","not in labor force",-2,28,"every day",2,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","right","right"
"1475",114001,1,11400101,"woman",4,1950,49,"married","french","roman catholic","","so, so (average)","not in labor force",-2,4,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1476",114111,1,11411101,"woman",10,1925,74,"widower/widow","french","protestant or reformed church","never","so, so (average)","not in labor force",-2,1,"every day",0,0,"compulsory or less","no","yes","inapplicable","yes","a guardian","legislators, senior officials, managers",0,"yes","elementary occupations","compulsory or less","left","other"
"1477",114161,1,11416102,"woman",2,1950,49,"married","french","protestant or reformed church","","well","active occupied",38675,4,"every day",0,1,"domestic science course, 1yr","yes","yes","inapplicable","yes","mother","elementary occupations",1,"yes","elementary occupations","compulsory or less","left","no particular tendency"
"1478",114171,1,11417101,"woman",4,1932,67,"married","french","roman catholic","","so, so (average)","active occupied",-4,4,"every day",0,2,"university/postgrad","yes","yes","inapplicable","yes","father","elementary occupations",1,"no","skilled agricultural and fishery workers","compulsory or less","right","right"
"1479",114201,1,11420102,"woman",2,1948,51,"married","french","protestant or reformed church","","well","not in labor force",-4,20,"every day",1,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","centre","centre"
"1480",114251,1,11425102,"woman",4,1947,52,"married","french","protestant or reformed church","","well","active occupied",77350,1,"every day",1,1,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1481",114371,1,11437101,"woman",12,1950,49,"divorced","french","protestant or reformed church","","not very well","not in labor force",24000,NA,"never",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"1482",114421,1,11442102,"woman",2,1945,54,"married","french","roman catholic","","well","active occupied",4800,4,"every day",1,2,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"no","elementary occupations","compulsory or less","innaplicable","innaplicable"
"1483",114481,1,11448101,"woman",9,1950,49,"married","french","roman catholic","","well","active occupied",17550,1,"at least once a week",2,2,"high school","no","no","inapplicable","no","mother",NA,NA,"yes","service workers, market sales workers","compulsory or less","right","right"
"1484",114501,1,11450101,"woman",12,1954,45,"married","french","roman catholic","","very well","not in labor force",-4,4,"every day",3,3,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"no","craft and related trades workers","general training/apprenticeship","right","right"
"1485",114531,1,11453102,"woman",2,1949,50,"married","french","protestant or reformed church","","very well","not in labor force",-8,12,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","professionals",5,"no","service workers, market sales workers","general training/apprenticeship","right","right"
"1486",114541,1,11454105,"woman",11,1950,49,"married","french","roman catholic","never","well","active occupied",-2,1,"every day",3,3,"high school","yes","no","inapplicable","yes","a guardian","professionals",15,NA,NA,NA,"don't know","don't know"
"1487",114571,1,11457101,"woman",2,1946,53,"divorced","french","no denomination or religion","never","well","active occupied",93600,12,"every day",0,1,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",15,"no","technicians and associate professionals","university/postgrad","centre","right"
"1488",114591,1,11459101,"woman",3,1937,62,"widower/widow","french","protestant or reformed church","","well","not in labor force",36000,12,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no","elementary occupations","compulsory or less","innaplicable","innaplicable"
"1489",114611,1,11461102,"woman",9,1947,52,"married","french","roman catholic","","well","active occupied",26000,4,"at least once a week",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1490",114651,1,11465102,"woman",5,1952,47,"single, never married","french","roman catholic","","very well","active occupied",-2,4,"every day",0,0,"university/postgrad","yes","yes","inapplicable","yes","both equally","technicians and associate professionals",5,"yes","technicians and associate professionals","high school","left","left"
"1491",114691,1,11469102,"woman",4,1953,46,"married","french","other","","very well","not in labor force",-8,1,"every day",1,1,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"yes","elementary occupations","compulsory or less","left","left"
"1492",114771,1,11477101,"woman",1,1948,51,"married","french","protestant or reformed church","never","so, so (average)","active occupied",31200,1,"every day",1,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"high school","left","left"
"1493",114901,1,11490101,"woman",5,1937,62,"married","french","no denomination or religion","","well","not in labor force",84000,4,"every day",0,1,"university/postgrad","yes","yes","inapplicable","yes","both equally","technicians and associate professionals",5,"yes","craft and related trades workers","high school","no particular tendency","right"
"1494",114931,1,11493102,"woman",12,1951,48,"married","french","roman catholic","","well","active occupied",72709,2,"every day",0,0,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","right","right"
"1495",114981,1,11498101,"woman",8,1939,60,"married","french","other","","well","active occupied",-5,12,"every day",0,2,"university/postgrad","yes","yes","inapplicable","yes","father",NA,15,"no",NA,"university/postgrad","innaplicable","innaplicable"
"1496",114991,1,11499101,"woman",8,1935,64,"widower/widow","french","other","","well","active occupied",-2,4,"every day",0,1,"high school","yes","no","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","compulsory or less","no particular tendency","no particular tendency"
"1497",115061,1,11506101,"woman",11,1951,48,"married","french","other","","very well","active occupied",108290,2,"every day",1,1,"high school","yes","yes","inapplicable","yes","father","professionals",15,"no","elementary occupations","high school","left","left"
"1498",115111,1,11511101,"woman",2,1941,58,"married","french","protestant or reformed church","","well","not in labor force",-2,1,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",NA,"no",NA,"compulsory or less","no particular tendency","don't know"
"1499",115261,1,11526102,"woman",4,1952,47,"married","french","protestant or reformed church","","well","active occupied",-1,1,"every day",1,2,"compulsory or less","yes","yes","inapplicable","no","both equally","craft and related trades workers",3,"yes",NA,"compulsory or less","left","left"
"1500",115291,1,11529102,"woman",11,1924,75,"married","french","roman catholic","","not very well","not in labor force",-2,12,"at least once a week",0,1,"compulsory or less","no","yes","inapplicable","yes","mother","craft and related trades workers",NA,"yes","elementary occupations","compulsory or less","don't know","no particular tendency"
"1501",115311,1,11531101,"woman",7,1950,49,"single, never married","french","protestant or reformed church","","very well","active occupied",-2,2,NA,0,0,"general training/apprenticeship","yes","yes","inapplicable","no","father","craft and related trades workers",1,"yes","craft and related trades workers","compulsory or less","left","left"
"1502",115321,1,11532101,"woman",6,1937,62,"single, never married","french","protestant or reformed church","","well","not in labor force",-4,8,"every day",0,0,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",15,"no","technicians and associate professionals","high school","right","right"
"1503",115421,1,11542101,"woman",4,1952,47,"single, never married","french","roman catholic","never","not very well","not in labor force",-1,1,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",15,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1504",115531,1,11553101,"woman",12,1948,51,"single, never married","french","no denomination or religion","","well","active occupied",119000,12,"every day",0,0,"university/postgrad","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",15,"no","professionals","university/postgrad","innaplicable","innaplicable"
"1505",115581,1,11558101,"woman",5,1944,55,"single, never married","french","roman catholic","","so, so (average)","not in labor force",-2,8,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","professionals",15,"yes","technicians and associate professionals","high school","no particular tendency","no particular tendency"
"1506",115771,1,11577101,"woman",12,1919,80,"widower/widow","french","protestant or reformed church","never","so, so (average)","not in labor force",32400,16,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1507",115831,1,11583101,"woman",11,1947,52,"single, never married","french","other","","so, so (average)","not in labor force",-2,NA,"at least once a week",1,1,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",NA,"yes",NA,NA,"no particular tendency","left"
"1508",115921,1,11592102,"woman",8,1924,75,"married","french","roman catholic","never","so, so (average)","not in labor force",-2,12,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no","skilled agricultural and fishery workers","compulsory or less","other","other"
"1509",115941,1,11594101,"woman",12,1945,54,"widower/widow","french","roman catholic","","so, so (average)","not in labor force",-2,28,"every day",0,1,"high school","yes","yes","inapplicable","yes","father","elementary occupations",1,"no","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"1510",115971,1,11597101,"woman",10,1942,57,"married","french","no denomination or religion","never","well","active occupied",108290,4,"every day",1,2,"university/postgrad","yes","no","inapplicable","yes","father","craft and related trades workers",3,"no","technicians and associate professionals","compulsory or less","left","left"
"1511",116011,1,11601102,"woman",9,1938,61,"married","french","roman catholic","never","well","not in labor force",-2,3,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","elementary occupations",3,"no",NA,"compulsory or less","left","other"
"1512",116081,1,11608102,"woman",9,1946,53,"married","french","roman catholic","never","well","active occupied",35581,NA,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",5,"no","technicians and associate professionals","general training/apprenticeship","left","left"
"1513",116091,1,11609101,"woman",7,1943,56,"single, never married","french","other","","so, so (average)","active occupied",60000,8,"every day",1,1,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"yes","service workers, market sales workers","general training/apprenticeship","right","right"
"1514",116461,1,11646101,"woman",8,1950,49,"married","french","protestant or reformed church","","well","active occupied",-1,3,"every day",2,2,"high school","yes","yes","inapplicable","yes","both equally","technicians and associate professionals",NA,"yes","service workers, market sales workers","general training/apprenticeship","right","right"
"1515",116471,1,11647101,"woman",12,1953,46,"single, never married","french","protestant or reformed church","never","well","active occupied",-2,1,"at least once a week",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","service workers, market sales workers","high school","innaplicable","innaplicable"
"1516",116851,1,11685101,"woman",7,1949,50,"married","french","roman catholic","","very well","active occupied",19200,2,"at least once a week",1,2,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1517",117041,1,11704102,"woman",12,1942,57,"married","french","no denomination or religion","","very well","active occupied",-2,NA,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"1518",117061,1,11706101,"woman",8,1922,77,"widower/widow","french","protestant or reformed church","","well","not in labor force",-1,4,"every day",0,3,"university/postgrad","yes","yes","inapplicable","yes","father","professionals",15,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1519",117121,1,11712101,"woman",9,1953,46,"married","french","protestant or reformed church","","well","active occupied",1680,8,"every day",2,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","no particular tendency","no particular tendency"
"1520",117151,1,11715101,"woman",11,1946,53,"married","french","protestant or reformed church","never","very well","active occupied",-2,4,"every day",2,4,"high school","yes","yes","inapplicable","yes","mother","technicians and associate professionals",NA,"yes","technicians and associate professionals","high school","other","other"
"1521",117181,1,11718102,"woman",6,1951,48,"married","french","no denomination or religion","never","well","active occupied",75600,4,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1522",117221,1,11722101,"woman",4,1944,55,"separated","french","other","","very well","active occupied",80000,4,"every day",1,2,"high school","no","yes","inapplicable","yes","a guardian",NA,NA,"no",NA,"compulsory or less","don't know","other"
"1523",117251,1,11725101,"woman",3,1923,76,"widower/widow","french","protestant or reformed church","never","very well","not in labor force",23328,4,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","no","father","service workers, market sales workers",1,"no",NA,"compulsory or less","left","other"
"1524",117291,1,11729101,"woman",11,1941,58,"married","french","roman catholic","","very well","active occupied",-4,4,"every day",2,2,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",5,"yes","technicians and associate professionals","general training/apprenticeship","right","right"
"1525",117301,1,11730102,"woman",10,1951,48,"married","french","roman catholic","","very well","not in labor force",-2,2,"every day",1,1,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",5,"no","service workers, market sales workers","general training/apprenticeship","right","right"
"1526",117551,1,11755102,"woman",2,1942,57,"married","french","protestant or reformed church","","well","active occupied",13650,NA,"every day",0,0,"general training/apprenticeship","no","yes","inapplicable","yes","a guardian","elementary occupations",1,"yes","elementary occupations","compulsory or less","innaplicable","innaplicable"
"1527",117591,1,11759101,"woman",3,1942,57,"married","french","roman catholic","very often","very well","not in labor force",-4,1,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","service workers, market sales workers",5,"no","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"1528",117671,1,11767101,"woman",1,1951,48,"separated","french","roman catholic","never","well","active occupied",32500,4,"every day",1,2,"high school","yes","yes","inapplicable","yes","both equally","service workers, market sales workers",3,"yes","elementary occupations","general training/apprenticeship","don't know","don't know"
"1529",117791,1,11779101,"woman",9,1934,65,"married","french","protestant or reformed church","never","so, so (average)","not in labor force",22680,2,"every day",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",0,"no",NA,"compulsory or less","left","left"
"1530",117861,1,11786101,"woman",8,1926,73,"widower/widow","french","roman catholic","never","well","not in labor force",-2,6,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",NA,"no","technicians and associate professionals",NA,"centre","no particular tendency"
"1531",117871,1,11787101,"woman",11,1938,61,"widower/widow","french","protestant or reformed church","","very well","not in labor force",42840,4,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1532",118071,1,11807101,"woman",4,1948,51,"single, never married","french","no denomination or religion","never","well","active occupied",61880,3,"every day",0,1,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes","technicians and associate professionals","general training/apprenticeship","don't know","don't know"
"1533",118181,1,11818101,"woman",3,1941,58,"married","french","roman catholic","","very well","active occupied",-2,16,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","general training/apprenticeship","right","right"
"1534",118331,1,11833102,"woman",3,1945,54,"married","french","no denomination or religion","","so, so (average)","active occupied",-2,12,"every day",0,1,"general training/apprenticeship","no","yes","inapplicable","yes","mother",NA,3,"no",NA,"compulsory or less","don't know","centre"
"1535",118341,1,11834102,"woman",3,1949,50,"married","french","roman catholic","","well","active occupied",14400,1,"every day",2,2,"university/postgrad","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no",NA,"high school","right","right"
"1536",118381,1,11838101,"woman",1,1947,52,"divorced","french","other","","well","not in labor force",-4,12,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes","craft and related trades workers","general training/apprenticeship","innaplicable","innaplicable"
"1537",118441,1,11844101,"woman",2,1949,50,"divorced","french","other","never","well","active occupied",-2,4,"at least once a week",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","service workers, market sales workers",1,"no","craft and related trades workers","general training/apprenticeship","other","other"
"1538",118491,1,11849101,"woman",8,1951,48,"divorced","french","roman catholic","","well","active occupied",49504,4,"every day",1,3,"general training/apprenticeship","no","no","inapplicable","yes","a guardian","technicians and associate professionals",NA,"yes","service workers, market sales workers",NA,"centre","no particular tendency"
"1539",118681,1,11868102,"woman",3,1951,48,"married","french","roman catholic","","well","not in labor force",-4,NA,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","compulsory or less","no particular tendency","other"
"1540",118701,1,11870102,"woman",10,1935,64,"married","french","protestant or reformed church","","well","active occupied",5200,2,"every day",0,4,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","right","right"
"1541",118741,1,11874101,"woman",12,1929,70,"widower/widow","french","protestant or reformed church","","very well","not in labor force",-4,2,"every day",0,0,"compulsory or less","yes","yes","inapplicable","yes","father","elementary occupations",5,"no","elementary occupations","compulsory or less","centre","no particular tendency"
"1542",118761,1,11876101,"woman",12,1945,54,"divorced","french","roman catholic","","well","active occupied",58786,4,"at least once a week",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",3,"no",NA,"compulsory or less","right","right"
"1543",118891,1,11889101,"woman",4,1937,62,"married","french","no denomination or religion","","well","not in labor force",-4,3,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"yes","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"1544",119111,1,11911101,"woman",12,1953,46,"married","french","protestant or reformed church","","so, so (average)","not in labor force",-2,20,"every day",1,1,"high school","yes","yes","inapplicable","no","father","professionals",15,"no","craft and related trades workers","high school","right","right"
"1545",119181,1,11918102,"woman",4,1936,63,"married","french","no denomination or religion","","well","active occupied",16800,1,"every day",0,2,"university/postgrad","yes","yes","inapplicable","yes","father","technicians and associate professionals",15,"no",NA,"university/postgrad","left","left"
"1546",119251,1,11925101,"woman",4,1934,65,"married","french","roman catholic","","very well","not in labor force",-2,2,"every day",0,2,"university/postgrad","yes","yes","inapplicable","yes","mother","technicians and associate professionals",15,"yes","technicians and associate professionals","high school","innaplicable","innaplicable"
"1547",119361,1,11936101,"woman",5,1929,70,"widower/widow","french","protestant or reformed church","","well","not in labor force",-2,NA,"every day",0,3,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",NA,"no",NA,"high school","other","other"
"1548",119601,1,11960102,"woman",9,1951,48,"married","french","protestant or reformed church","very often","so, so (average)","not in labor force",-2,8,"every day",2,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",5,"no",NA,"general training/apprenticeship","right","right"
"1549",119721,1,11972102,"woman",10,1953,46,"married","french","other","never","well","not in labor force",-2,4,"every day",2,2,"high school","yes","yes","inapplicable","no","father","professionals",15,"no",NA,"general training/apprenticeship","left","left"
"1550",119731,1,11973101,"woman",12,1935,64,"widower/widow","french","roman catholic","very often","so, so (average)","not in labor force",25920,28,"every day",0,7,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","left","no particular tendency"
"1551",119851,1,11985102,"woman",1,1953,46,"married","french","roman catholic","","well","active occupied",4800,4,"every day",3,3,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",5,"no",NA,"high school","centre","centre"
"1552",119941,1,11994102,"woman",11,1943,56,"married","french","roman catholic","never","well","active occupied",-2,1,"every day",1,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1553",120061,1,12006101,"woman",5,1944,55,"widower/widow","french","roman catholic","","very well","active occupied",40300,4,"at least once a week",0,2,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",NA,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1554",120091,1,12009102,"woman",9,1919,80,"married","french","protestant or reformed church","","well","not in labor force",-2,1,"every day",0,1,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",0,"no","craft and related trades workers","compulsory or less","innaplicable","innaplicable"
"1555",120111,1,12011102,"woman",5,1949,50,"married","french","protestant or reformed church","","very well","active occupied",-2,2,"at least once a week",1,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"yes",NA,"compulsory or less","left","don't know"
"1556",120121,1,12012102,"woman",11,1949,50,"married","french","roman catholic","","well","active occupied",35581,1,"every day",2,4,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no","elementary occupations","compulsory or less","centre","left"
"1557",120251,1,12025101,"woman",7,1927,72,"single, never married","french","protestant or reformed church","","very well","not in labor force",29808,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no","technicians and associate professionals",NA,"left","left"
"1558",120461,1,12046101,"woman",10,1953,46,"divorced","french","roman catholic","","well","active occupied",57834,8,"every day",3,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",0,"no",NA,"compulsory or less","innaplicable","innaplicable"
"1559",120551,1,12055101,"woman",8,1923,76,"married","french","protestant or reformed church","","well","not in labor force",-4,2,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","service workers, market sales workers",5,"no",NA,"compulsory or less","innaplicable","innaplicable"
